127.0.0.1 - - [23/Dec/2020:20:49:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:49:13 +0530] "GET /Nala/ HTTP/1.1" 200 173838
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:49:14 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:49:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:49:19 +0530] "GET /Nala/login HTTP/1.1" 200 174973
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:49:19 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:50:49 +0530] "POST /Nala/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:50:49 +0530] "GET /Nala/login?error HTTP/1.1" 200 175063
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:50:49 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:51:16 +0530] "POST /Nala/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:51:16 +0530] "GET /Nala/login?error HTTP/1.1" 200 175063
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:51:16 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:51:57 +0530] "POST /Nala/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:51:58 +0530] "GET /Nala/login?error HTTP/1.1" 200 175063
0:0:0:0:0:0:0:1 - - [23/Dec/2020:20:51:58 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
