127.0.0.1 - - [22/Jan/2021:16:18:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:18:57 +0530] "GET /Nala/ HTTP/1.1" 200 173838
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:18:58 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:18:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:02 +0530] "GET /Nala/login HTTP/1.1" 200 174973
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:02 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:12 +0530] "POST /Nala/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:12 +0530] "GET /Nala/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:18 +0530] "GET /Nala/admin/dashboard HTTP/1.1" 200 18553
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:19 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:19 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:19 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:19 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:19 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:20 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:20 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:20 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:20 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 116240
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:20 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:20 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:22 +0530] "GET /Nala/assets/img/fav.png HTTP/1.1" 200 3451
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:27 +0530] "GET /Nala/admin/recipeCooking HTTP/1.1" 200 10579
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:28 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:28 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:28 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:28 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:28 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:28 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:28 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:28 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:28 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:28 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 116240
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:28 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:52 +0530] "GET /Nala/admin/list-stirTypes HTTP/1.1" 200 14998
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:52 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
